Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
"""Tatort"" Der schwarze Engel (TV Episode 1994) - IMDb",Nina Grosse,6.6,Crime,Ulrike Folkerts,TV-14,40,1h 30m
"""Tatort"" Ein Wodka zuviel (TV Episode 1994) - IMDb",Werner Masten,6.5,Crime,Manfred Krug,TV-14,59,1h 30m
"""Tatort"" Geschlossene Akten (TV Episode 1994) - IMDb",Matti Geschonneck,5.6,Crime,Günter Lamprecht,TV-14,48,1h 45m
"""Tatort"" Herrenboxer (TV Episode 1994) - IMDb",Christian von Castelberg,5.9,Crime,László I. Kish,TV-14,26,1h 30m
"""Tatort"" Klassen-Kampf (TV Episode 1994) - IMDb",Friedemann Fromm,6.1,Crime,Benno Fürmann,TV-14,50,1h 31m
"""Tatort"" Laura, mein Engel (TV Episode 1994) - IMDb",Ottokar Runze,5.9,Crime,Peter Sodann,TV-14,53,1h 30m
"""Tatort"" Mord in der Akademie (TV Episode 1994) - IMDb",Ulrich Stark,5.9,Crime,Martin Lüttge,TV-14,68,1h 30m
Tears in Their Eyes (Video 1994) - IMDb,Martin Denning,N/A,N/A,"Beirut, Lebanon",1994,N/A,1h 50m
Tears and Laughter: The Joan and Melissa Rivers Story (TV Movie 1994) - IMDb,Oz Scott,4.5,Drama,Joan Rivers,1994,121,1h 36m
Teas & Laughter (TV Movie 1994) - IMDb,United States,N/A,N/A,N/A,1994,N/A,1994
Teatr imeni menya (TV Movie 1994) - IMDb,Oleg Korvyakov,N/A,Stand-Up,N/A,1994,N/A,50m
Technilogic Ordering (Short 1994) - IMDb,Philip Hoffman,N/A,Short,N/A,1994,N/A,30m
Teenage Exorcist (1991) - IMDb,Grant Austin Waldman,4.7,Parody,Brinke Stevens,1991,542,1h 26m
Teesra Kaun? (1994) - IMDb,Partho Ghosh,5.2,Comedy,Mithun Chakraborty,1994,174,2h 40m
TekWar (TV Movie 1994) - IMDb,William Shatner,5.8,Sci-Fi,Alfonse Ruggiero Jr.,1994,828,Not Rated
TekWar: TekJustice (TV Movie 1994) - IMDb,Jerry Ciccoritti,6.0,Sci-Fi,Greg Evigan,1994,382,Not Rated
TekWar: TekLab (TV Movie 1994) - IMDb,Timothy Bond,5.6,Sci-Fi,Greg Evigan,1994,406,Not Rated
TekWar: TekLords (TV Movie 1994) - IMDb,George Bloomfield,5.9,Sci-Fi,Alfonse Ruggiero Jr.,1994,412,Not Rated
Tell Me What You Saw (Short 1994) - IMDb,Srinivas Krishna,N/A,Short,N/A,1994,N/A,7m
End of an Era (1994) - IMDb,Antonis Kokkinos,6.9,Drama,Kostas Kazanas,1994,326,1h 38m
Temptation (1994) - IMDb,Strathford Hamilton,4.6,Thriller,Jeff Fahey,1994,289,1h 31m
Ten (1981) - IMDb,Joe Walsh,6.4,Animation,"July 16, 1981 (Hong Kong)",1981,13,1h 20m
Ten Monologues from the Lives of the Serial Killers (1994) - IMDb,Aryan Kaganof,6.2,Crime,J.G. Ballard,1994,82,1h
Angel Dust (1994) - IMDb,Gakuryû Ishii,6.7,Drama,Kaho Minami,1994,1.4K,1h 56m
Il teppista (1994) - IMDb,Veronica Bilbao La Vieja,6.0,N/A,Giorgio Baldassi,1994,10,N/A
A Terceira Margem do Rio (1994) - IMDb,Nelson Pereira dos Santos,5.5,Drama,Lavoisier Albernaz,1994,155,1h 38m
Teresa's Tattoo (1994) - IMDb,Julie Cypher,4.5,Satire,C. Thomas Howell,1994,550,1h 28m
Der Termin (Short 1994) - IMDb,Andrea Krakora,N/A,Short,N/A,1994,N/A,35m
Thick Lips Thin Lips (Short 1994) - IMDb,Paul Lee,5.7,Drama,N/A,1994,9,6m
Thicker Than Blood: The Larry McLinden Story (TV Movie 1994) - IMDb,Michael Dinner,6.1,Biography,Peter Strauss,1994,153,1h 30m
Thieves Quartet (1993) - IMDb,Joe Chappelle,4.7,Crime,R. Lewis Blake,1993,164,1h 30m
Thin Ice (1994) - IMDb,Fiona Cunningham-Reid,6.4,Comedy,Charlotte Avery,1994,129,1h 28m
A Thin Life (2018) - IMDb,Frank Howson,N/A,Comedy,N/A,2018,N/A,1h 15m
This Can't Be Love (TV Movie 1994) - IMDb,Anthony Harvey,6.2,Comedy,Katharine Hepburn,1994,446,TV-PG
This Is the Sea (1997) - IMDb,Mary McGuckian,6.1,Drama,Samantha Morton,1997,393,1h 40m
Three Things I've Learned (Short 1994) - IMDb,Lory Smith,N/A,Comedy,N/A,1994,N/A,5m
Threesome (1994) - IMDb,Andrew Fleming,6.3,Comedy,Lara Flynn Boyle,1994,14K,1h 33m
Thumbelina (1994) - IMDb,Don Bluth,6.2,Adventure,Jodi Benson,1994,19K,1h 26m
Thursday Afternoon (Short 1998) - IMDb,Clay Westervelt,6.5,Drama,Rudy Young,1998,33,18m
Ti kniver i hjertet (1994) - IMDb,Marius Holst,6.4,Drama,Lars Saabye Christensen,1994,701,1h 36m
Brother of Darkness (1994) - IMDb,Billy Hin-Shing Tang,5.8,Crime,Lily Chung,1994,209,1h 24m
Heaven and Earth (1994) - IMDb,David Lai,6.1,Action,Andy Lau,1994,204,2h 20m
The Day the Sun Turned Cold (1994) - IMDb,Ho Yim,7.1,True Crime,Siqin Gaowa,1994,265,1h 39m
Tick Tack (1994) - IMDb,Mohammad Ali Talebi,6.0,Drama,Shirin Bina,1994,40,1h 3m
The Ticket (Short 1995) - IMDb,Richard Murphy,7.2,Comedy,Jeremy Piven,1995,50,27m
Tiden är en dröm (1997) - IMDb,Jan Lindqvist,7.8,Documentary,N/A,1997,29,2h 5m
Tief oben (1995) - IMDb,Willi Hengstler,5.8,Mystery,Hans Platzgumer,1995,28,1h 30m
Tiger (1994) - IMDb,David Rimmer,N/A,N/A,"February 1, 2006 (United States)",1994,N/A,1h 35m
Tigrero: A Film That Was Never Made (1994) - IMDb,Mika Kaurismäki,6.8,Documentary,N/A,1994,455,1h 15m
Till the End of the Night (1995) - IMDb,Larry Brand,3.8,Drama,Scott Valentine,1995,481,1h 30m
Zabraneniat plod (1994) - IMDb,Krassimir Kroumov,7.0,Drama,Erland Josephson,1994,19,1h 41m
Time & Again (Video 1994) - IMDb,United States,6.4,N/A,N/A,1994,10,1994
Time Is Money (1994) - IMDb,Paolo Barzman,6.0,Drama,Max von Sydow,1994,44,1h 34m
Tsahal (1994) - IMDb,Claude Lanzmann,6.8,Documentary,Claude Lanzmann,1994,118,5h 16m
Jazz (1994) - IMDb,Daniel Helfer,7.7,Comedy,Pasquale Aleardi,1994,42,1h 40m
Drunken Master II (1994) - IMDb,Chia-Liang Liu,7.5,Kung Fu,Edward Tang,1994,50K,1h 42m
Tsuma wa Filipina (1994) - IMDb,Yasunori Terada,N/A,Biography,"July 16, 1994 (Japan)",1994,N/A,1h 40m
Tulivesi (1994) - IMDb,Hardi Volmer,6.7,Crime,Kaarel Kilvet,1994,170,1h 34m
The Rapist (1994) - IMDb,Chuen-Yee Cha,5.2,Crime,Dickson Ga-Sing Lee,1994,132,1h 31m
Tuomas Murasen rikos (TV Movie 1994) - IMDb,Jukka Sipilä,7.4,Crime,Olavi Ahonen,1994,38,1h 56m
Turn of the Blade (1994) - IMDb,Bryan Michael Stoller,4.3,Psychological Thriller,Mark Bark,1994,60,1h 25m
The Turnaround (1995) - IMDb,Suri Krishnamma,7.2,Crime,Clive Owen,1995,102,1h 30m
"Once a Year, Every Year (1994) - IMDb",Gianfrancesco Lazotti,7.0,Comedy,Giorgio Albertazzi,1994,48,1h 28m
Twilight Zone: Rod Serling's Lost Classics (TV Movie 1994) - IMDb,Robert Markowitz,6.2,Drama,Rod Serling,1994,1.3K,Not Rated
Twist à Popenguine (1994) - IMDb,Moussa Sene Absa,6.9,Comedy,Moussa Sene Absa,1994,87,1h 25m
Twister: A Musical Catastrophe (Video 2000) - IMDb,Ken Kesey,7.6,Action,Phil Deitz,2000,27,2h 8m
Two Fathers: Justice for the Innocent (TV Movie 1994) - IMDb,Paul Krasny,5.7,Crime,Robert Conrad,1994,97,1h 31m
"""Screen One"" Two Golden Balls (TV Episode 1994) - IMDb",Anya Camilleri,4.8,Comedy,Kim Cattrall,N/A,56,1h 10m
The Crazysitter (1994) - IMDb,Michael McDonald,4.9,Comedy,Beverly D'Angelo,1994,389,1h 32m
The Righteous (1994) (1994) - IMDb,Marek Halter,6.9,Documentary,N/A,1994,11,2h 30m
La tête dans les nuages (Short 1994) - IMDb,Jean-Marie Téno,6.6,Documentary,N/A,1994,7,34m
Tödliche Besessenheit (TV Movie 1995) - IMDb,Peter Patzak,5.0,Drama,Nicole Heesters,1995,11,1h 36m
Tödliche Dienstreise (TV Movie 1994) - IMDb,Driss Chraibi,N/A,Drama,Mustapha Adouani,1994,N/A,1h 25m
Tödliche Wahrheit (TV Movie 1994) - IMDb,Rainer Wolffhardt,N/A,Drama,Helmut Berger,1994,N/A,1994
Tödliches Erbe (TV Movie 1994) - IMDb,Sigi Rothemund,5.2,Drama,Hildegard Knef,1994,12,1994
Beckmann & Markowski - Tödliches Netz (TV Movie 1994) - IMDb,Vivian Naefe,4.0,Crime,Gottfried John,1994,7,1h 27m
Törvénytelen (1995) - IMDb,Ferenc András,4.7,Crime,György Cserhalmi,1995,45,1h 44m
U.F.O. (1993) - IMDb,Tony Dow,5.0,Comedy,Roy 'Chubby' Brown,1993,357,1h 19m
"""Tous les garçons et les filles de leur âge..."" US Go Home (TV Episode 1994) - IMDb",Claire Denis,7.7,Drama,Alice Houri,N/A,758,58m
Ucitel tance (1995) - IMDb,Jaromil Jires,6.9,Comedy,Jirí Hubac,1995,175,1h 40m
Udhaar Ki Zindagi (1994) - IMDb,K.V. Raju,5.3,Drama,Jeetendra,1994,168,N/A
Ulrike Marie Meinhof (1995) - IMDb,Timon Koulmasis,7.4,Biography,Astrid Proll,1995,34,1h 1m
Ultimate Betrayal (TV Movie 1994) - IMDb,Donald Wrye,5.9,Drama,Marlo Thomas,1994,211,Not Rated
Um jeden Preis (TV Movie 1994) - IMDb,Kai Wessel,N/A,Thriller,Henry Hübchen,1994,N/A,1h 35m
Umbrellas (1994) - IMDb,Henry Corra,7.9,Documentary,N/A,1994,81,1h 21m
Der Umweg (1994) - IMDb,David Rühm,N/A,N/A,N/A,1994,N/A,1h 30m
"Little Indian, Big City (1994) - IMDb",Hervé Palud,5.7,Adventure,Hervé Palud,1994,4.8K,1h 30m
Un taxi pour Aouzou (Short 1994) - IMDb,Issa Serge Coelo,6.6,Short,N/A,1994,9,N/A
Un tournage à la campagne (1994) - IMDb,Alain Fleischer,7.2,Documentary,Jean Renoir,1994,58,1h 20m
Un été inoubliable (1994) - IMDb,Lucian Pintilie,7.3,Drama,Kristin Scott Thomas,1994,1.1K,1h 22m
The Unborn II (1994) - IMDb,Rick Jacobson,4.2,Horror,Michele Greene,1994,463,1h 23m
Unconditional Love (1995) - IMDb,Arthur Egeli,6.2,Drama,Pablo Bryant,1995,68,1h 28m
Uncovered (1994) - IMDb,Jim McBride,5.7,Mystery,Arturo Pérez-Reverte,1994,2.8K,1h 43m
And Saw What Should Be Done (1994) - IMDb,Stephan Sachs,N/A,N/A,N/A,1994,N/A,1h 12m
Und sie tanzen einen (1994) - IMDb,Leopold Lummerstorfer,N/A,N/A,N/A,1994,N/A,N/A
Undefeatable (1993) - IMDb,Godfrey Ho,4.5,B-Action,Robert Vassar,1993,2.7K,1h 35m
Under Heat (1994) - IMDb,Peter Reed,6.7,Drama,Michael David Brown,1994,82,1h 32m
Under the Hammer (TV Series 1993–1994) - IMDb,Richard Wilson,7.2,Comedy,Richard Wilson,1993–1994,55,30m
Undo (1994) - IMDb,Shunji Iwai,6.6,Drama,N/A,1994,855,47m
Une bonne journée (Short 1994) - IMDb,Matthias Bruhn,6.7,Animation,Folimage,1994,20,8m
Une femme dans la tourmente (TV Movie 1995) - IMDb,Serge Moati,N/A,Drama,Miou-Miou,1995,N/A,1h 42m
Aswang (1994) - IMDb,Wrye Martin,5.5,Horror,Norman Moses,1994,558,1h 22m
Unishe April (1994) - IMDb,Rituparno Ghosh,7.7,Drama,Rituparno Ghosh,1994,592,2h 18m
Unlawful Passage (1994) - IMDb,Camilo Vila,4.8,Thriller,Lee Horsley,1994,105,1h 35m
"Uno a me, uno a te e uno a Raffaele (1994) - IMDb",Jon Jost,4.5,Drama,Victoria Arenillas,1994,14,1h 20m
Eddie Izzard: Unrepeatable (Video 1994) - IMDb,John Gordillo,8.0,Stand-Up,N/A,1994,1.5K,1h 15m
Unschuldsengel (TV Movie 1994) - IMDb,Rainer Kaufmann,6.4,Drama,Christian Näthe,1994,30,1h 30m
Untamed Love (TV Movie 1994) - IMDb,Paul Aaron,5.8,Drama,Cathy Lee Crosby,1994,266,1h 27m
404 Error - IMDb,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Time for Justice (Short 1994) - IMDb,Charles Guggenheim,6.8,Documentary,N/A,1994,105,38m
A Time to Heal (TV Movie 1994) - IMDb,Michael Toshiyuki Uno,6.5,Drama,Nicollette Sheridan,1994,121,1h 30m
Timecop (1994) - IMDb,Peter Hyams,5.9,Superhero,Mark Verheiden,1994,66K,1h 39m
The Tin Box (Short 1990) - IMDb,Paul Middleditch,N/A,Short,Timothy Balme,1990,N/A,23m
Heaven's a Drag (1994) - IMDb,Peter Mackenzie Litten,5.5,Dark Comedy,Ian Williams,1994,482,1h 41m
To Kill a Dead Man (Short 1994) - IMDb,Alexander Hemming,6.7,Short,Geoff Barrow,1994,302,11m
To My Daughter with Love (TV Movie 1994) - IMDb,Kevin Hooks,6.9,Drama,Ricky Schroder,1994,102,1h 40m
To People I Have Eye Contact with Across the Train Doors (Short 1994) - IMDb,Gen Natsume,N/A,Short,N/A,1994,N/A,9m
To Save the Children (TV Movie 1994) - IMDb,Steven Hilliard Stern,6.0,Drama,Richard Thomas,1994,235,Unrated
To mand i en sofa (1994) - IMDb,Amir Rezazadeh,6.7,Comedy,Anders Hove,1994,53,1h 45m
Tod (Short 1994) - IMDb,Christoph Kasperkovitz,4.2,Short,N/A,1994,11,4m
Tod dem Fernsehen (Short 1994) - IMDb,Alf Altendorf,N/A,Short,N/A,1994,N/A,14m
Tod in Miami (TV Movie 1994) - IMDb,Carlo Rola,5.1,Thriller,Iris Berben,1994,10,1h 31m
Todo es mentira (1994) - IMDb,Álvaro Fernández Armero,6.5,Comedy,Penélope Cruz,1994,606,1h 39m
Tokarev (1994) - IMDb,Junji Sakamoto,6.4,Action,Takeshi Yamato,1994,74,1h 43m
Tokyo Cowboy (1994) - IMDb,Kathy Garneau,5.8,Satire,Anna Ferguson,1994,119,1h 34m
Tôkyô kyôdai (1995) - IMDb,Jun Ichikawa,6.5,Drama,Yuriko Hirooka,1995,40,1h 32m
Tollbooth (1994) - IMDb,Salomé Breziner,5.5,Action,Fairuza Balk,1994,343,1h 48m
Tom & Viv (1994) - IMDb,Brian Gilbert,6.2,Docudrama,Michael Hastings,1994,1.9K,1h 55m
Tonino und Toinette (TV Movie 1994) - IMDb,Xaver Schwarzenberger,7.0,Drama,Julia Stemberger,1994,9,1h 30m
Tonya & Nancy: The Inside Story (TV Movie 1994) - IMDb,Larry Shaw,5.3,Biography,Alexandra Powers,1994,207,1h 35m
Toorog (1994) - IMDb,Yondonbaliin Tserendolgor,N/A,N/A,G. Basbayar,1994,N/A,1h 35m
Torarete Tamaruka! 3 (1994) - IMDb,Banmei Takahashi,N/A,N/A,N/A,1994,N/A,N/A
The Bull (1994) - IMDb,Carlo Mazzacurati,6.8,Comedy,Umberto Contarello,1994,448,1h 45m
Total Balalaika Show (1994) - IMDb,Aki Kaurismäki,6.9,Comedy,Alexandrov Red Army Ensemble,1994,949,57m
Total Recession (Short 1994) - IMDb,Durand Greig,N/A,Short,N/A,1994,N/A,14m
Totor (1994) - IMDb,Daniel Kamwa,6.6,Comedy,Marcel Bokalli,1994,10,1h 30m
Totschweigen (1994) - IMDb,Eduard Erne,8.1,Documentary,N/A,1994,19,1h 28m
Terrified (1995) - IMDb,James Merendino,3.5,Horror,Heather Graham,1995,677,1h 35m
"""L'Oeil du cyclone"" Toujours plus (TV Episode 1994) - IMDb",Luc Moullet,6.5,Animation,Jocelyne Auclair,N/A,36,24m
Tour Eiffel (Short 1994) - IMDb,Veit Helmer,6.4,Comedy,Bruno La Brasca,1994,30,10m
Dead Can Dance: Toward the Within (1994) - IMDb,Mark Magidson,8.7,Documentary,N/A,1994,279,1h 17m
Traces of Death II (Video 1994) - IMDb,Damon Fox,4.4,Splatter Horror,Damon Fox,1994,399,Unrated
Tracking Down Maggie: The Unofficial Biography of Margaret Thatcher (1994) - IMDb,Nick Broomfield,6.7,Biography,Nick Broomfield,1994,203,1h 27m
Trading Mom (1994) - IMDb,Tia Brelis,5.4,Comedy,Sissy Spacek,1994,2.3K,1h 22m
Trailer der Diagonale (Short 1994) - IMDb,Jan Lauth,N/A,Short,N/A,1994,N/A,1m
Train de nuit (Short 1994) - IMDb,Michel Piccoli,6.0,Short,N/A,1994,12,14m
Trampa para un gato (1994) - IMDb,Manuel de Pedro,5.8,Action,Amado Zambrano,1994,14,1h 30m
Trancers 4: Jack of Swords (Video 1994) - IMDb,David Nutter,4.6,Action,Tim Thomerson,1994,1.1K,R
The Transformation of the World Into Music (TV Movie 1996) - IMDb,Werner Herzog,7.1,Documentary,Norbert Balatsch,1996,95,1h 30m
Transgression (1994) - IMDb,Michael P. DiPaolo,4.3,Drama,Molly Jackson,1994,36,1h 25m
Trapped in Paradise (1994) - IMDb,George Gallo,5.9,Adventure,Nicolas Cage,1994,17K,1h 51m
Traps (1994) - IMDb,Pauline Chan,6.8,Drama,Saskia Reeves,1994,65,1h 36m
"A Dream, What Else? (TV Movie 1995) - IMDb",Hans-Jürgen Syberberg,N/A,Documentary,N/A,1995,N/A,2h 12m
Treacherous (1993) - IMDb,Kevin Brodie,3.4,Thriller,C. Thomas Howell,1993,806,1h 35m
Harlequin: Treacherous Beauties (TV Movie 1994) - IMDb,Charles Jarrott,5.8,Conspiracy Thriller,Emma Samms,1994,506,1h 30m
Tread: The Movie (1994) - IMDb,Bill Snider,7.2,Documentary,Greg Herbold,1994,27,N/A
Treasure Island: The Adventure Begins (TV Movie 1994) - IMDb,Scott Garen,7.6,Adventure,Robert Louis Stevenson,1994,36,47m
Treci Bozic (Short 1994) - IMDb,Petar Krelja,N/A,Documentary,N/A,1994,N/A,32m
Tretiy ne lishniy (1994) - IMDb,Anatoly Eyramdzhan,4.6,Comedy,Boris Shcherbakov,1994,64,1h 15m
Trevor (Short 1994) - IMDb,Peggy Rajski,7.7,Comedy,Brett Barsky,1994,1.7K,23m
Tri sestry (1994) - IMDb,Sergey Solovyov,4.6,Drama,Olga Belyayeva,1994,49,1h 46m
Trial by Jury (1994) - IMDb,Heywood Gould,5.4,Legal Thriller,Joanne Whalley,1994,2.1K,1h 47m
Triangle (Short 1994) - IMDb,Erica Russell,6.5,Animation,N/A,1994,162,9m
Trick of the Eye (TV Movie 1994) - IMDb,Ed Kaplan,5.5,Crime,Jane Stanton Hitchcock,1994,211,1h 35m
Triemaal/Wakomm (Short 1994) - IMDb,C. Angelmaier,N/A,Short,N/A,1994,N/A,7m
Trigger Fast (1994) - IMDb,David Lister,2.8,Drama,Jürgen Prochnow,1994,806,1h 36m
Three Hundred Years After (1994) - IMDb,Viktor Volkov,3.6,Parody,Nikolay Tonsky,1994,29,1h 32m
The Return (1994) - IMDb,Dang Nhat Minh,8.0,Drama,N/A,1994,27,1h 50m
Three Colors: Red (1994) - IMDb,Krzysztof Kieslowski,8.1,Dark Romance,Krzysztof Kieslowski,1994,112K,1h 39m
Trollsyn (1994) - IMDb,Ola Solum,6.2,Drama,Julia Onsager Steen,1994,173,1h 33m
Too Much Happiness (1994) - IMDb,Cédric Kahn,6.9,Comedy,Malek Bechar,1994,80,1h 25m
Tropical Fish (Short 1994) - IMDb,Chris Rodley,N/A,Short,N/A,1994,N/A,N/A
Untitled II (1994) - IMDb,Pieter Moleveld,N/A,N/A,N/A,1994,N/A,N/A
Marco Polo (Video 1994) - IMDb,Joe D'Amato,5.7,Adult,Rocco Siffredi,1994,171,X
Die Untote vom ersten Stock (Short 1994) - IMDb,Thomas Freundner,N/A,Short,N/A,1994,N/A,14m
Unveiled (1994) - IMDb,William Cole,4.9,Action,Lisa Zane,1994,331,1h 43m
"""Ein unvergeßliches Wochenende"" Auf Mallorca (TV Episode 1995) - IMDb",Kai Borsche,N/A,N/A,Nadja Tiller,N/A,N/A,1h 28m
"""Ein unvergeßliches Wochenende"" In Sevilla (TV Episode 1994) - IMDb",Helmut Förnbacher,6.0,N/A,Gudrun Landgrebe,N/A,8,1h 29m
"""Ein unvergeßliches Wochenende"" In Südfrankreich (TV Episode 1994) - IMDb",Rolf von Sydow,N/A,N/A,Rosemarie Fendel,N/A,N/A,1h 27m
The Voyeur (1994) - IMDb,Tinto Brass,5.5,Steamy Romance,Tinto Brass,1994,4K,1h 38m
The Upstairs Neighbour (1994) - IMDb,James Merendino,6.6,Comedy,Rustam Branaman,1994,81,1h 30m
Urban Legend (Short 1994) - IMDb,Adrienne Shelly,6.2,Satire,N/A,1994,49,25m
Usem a Interação Universidade Empresa (TV Movie 1994) - IMDb,Brazil,N/A,Documentary,N/A,1994,N/A,1994
Az utazás (Short 1994) - IMDb,András Fésös,N/A,Short,N/A,1994,N/A,N/A
Utmaningen (TV Movie 1994) - IMDb,Per Gunnar Evander,N/A,Drama,Per Gunnar Evander,1994,N/A,1h 25m
Burnt by the Sun (1994) - IMDb,Nikita Mikhalkov,7.8,Drama,Nikita Mikhalkov,1994,17K,2h 15m
Uttoran (1994) - IMDb,Sandip Ray,7.6,Drama,Satyajit Ray,1994,158,1h 30m
Uuno Turhapuron veli (1994) - IMDb,Hannu Seikkula,2.5,Comedy,Spede Pasanen,1994,414,1h 15m
UV (1994) - IMDb,Daramsurengiin Khatanbaatar,N/A,Family,Ganboldin Baasankhuu,1994,N/A,1h 13m
Passions (1994) - IMDb,Kira Muratova,6.8,Drama,N/A,1994,327,1h 51m
The VW-Beetle (Short 1994) - IMDb,Peter Dirnberger,N/A,Short,N/A,1994,N/A,14m
Valentine's Day (1994) - IMDb,Mike Hoolboom,6.4,N/A,Babs Chula,1994,8,1h 20m
Vanishing Son (TV Movie 1994) - IMDb,John Nicolella,7.1,Action,Rob Cohen,1994,529,Not Rated
Vanishing Son II (TV Movie 1994) - IMDb,John Nicolella,6.8,Action,Russell Wong,1994,282,Not Rated
Vanishing Son III (TV Movie 1994) - IMDb,John Nicolella,7.0,Action,Russell Wong,1994,240,Not Rated
Vanishing Son IV (TV Movie 1994) - IMDb,John Nicolella,6.2,Action,Russell Wong,1994,233,Not Rated
Vanya on 42nd Street (1994) - IMDb,Louis Malle,7.3,Comedy,Wallace Shawn,1994,5.3K,1h 59m
Varsa Laxmicha (1994) - IMDb,Madhukar Pathak,N/A,N/A,N/A,1994,N/A,2h 32m
A Passionate Kiss (1994) - IMDb,Miro Sindelka,3.6,Psychological Drama,Ivana Chýlková,1994,23,N/A
Vaterland (1992) - IMDb,Uli M. Schüppel,7.2,Drama,Miroslaw Baka,1992,64,1h 29m
Vayu (1994) - IMDb,Velu Viswanandhan,N/A,Documentary,N/A,1994,N/A,59m
Vazir (2015) - IMDb,Sanjay D Rawal,8.2,Action,Kamal Adeep,2015,68,N/A
The Veiled Hope - IMDb,Norma Marcos,N/A,Documentary,Hanane Arouri,N/A,N/A,N/A
Veillées d'armes (1994) - IMDb,Marcel Ophüls,7.9,Documentary,Christiane Amanpour,1994,119,3h 44m
Die verlorene Sonnenwende (1994) - IMDb,Bernd Mohr,N/A,N/A,N/A,1994,N/A,56m
The Vernon Johns Story (TV Movie 1994) - IMDb,Kenneth Fink,7.5,Biography,Leslie Lee,1994,375,PG
Verrückt nach dir (TV Movie 1994) - IMDb,Konrad Sabrautzky,7.8,Comedy,Elke Czischek,1994,29,1h 30m
Das Versprechen (1994) - IMDb,Margarethe von Trotta,6.7,Drama,Corinna Harfouch,1994,904,1h 55m
Vertical Reality (1994) - IMDb,Warren Miller,8.4,Documentary,Suzanne Sawyer,1994,21,1h 32m
A Viagem (Short 1994) - IMDb,Jorge Queiroga,6.5,Mystery,Diogo Infante,1994,13,N/A
Viaggio clandestino - Vite di santi e di peccatori (1994) - IMDb,Raúl Ruiz,6.3,Fantasy,Elena Bucci,1994,9,1h 5m
Vid.Icon (1994) - IMDb,Paul Martin Divjak,N/A,N/A,N/A,1994,N/A,N/A
Uma Vida Normal (1994) - IMDb,Joaquim Leitão,6.4,Comedy,Joaquim de Almeida,1994,134,1h 50m
La vie d'un héros (1994) - IMDb,Micheline Lanctôt,5.9,Drama,Gilbert Sicotte,1994,24,1h 43m
La vie en rose (Short 1994) - IMDb,Anna Reeves,5.8,Drama,N/A,1994,44,7m
La vie est immense et pleine de dangers (1995) - IMDb,Denis Gheerbrant,6.6,Documentary,"February 22, 1995 (France)",1995,12,1h 20m
La vie sexuelle des Belges 1950-1978 (1994) - IMDb,Jan Bucquoy,5.8,Satire,Jean-Henri Compère,1994,665,1h 25m
La vie à rebours (Short 1995) - IMDb,Gaël Morel,6.6,Crime,N/A,1995,39,12m
Viel Lärm sonst nichts (1994) - IMDb,Werner Fiebig,N/A,N/A,Felix Bobe,1994,N/A,1h 15m
Vijaypath (1994) - IMDb,Farogh Siddique,5.1,Action,Talat Rekhi,1994,857,2h 43m
Vildbassen (1994) - IMDb,Sven Methling,5.1,Comedy,Robert Hansen,1994,313,1h 25m
A Village Affair (TV Movie 1995) - IMDb,Moira Armstrong,5.9,Drama,Sophie Ward,1995,619,Not Rated
Villhesten (1994) - IMDb,Morten Kolstad,6.2,Adventure,Linda Digernes,1994,79,1h 46m
Vimukthi (1994) - IMDb,Priyantha Colombage,N/A,N/A,Joe Abeywickrama,1994,N/A,N/A
Private Film 11: Virgin Treasures 1 (Video 1994) - IMDb,Frank Thring,6.5,Adult,Frank Thring,1994,15,X
Vishwavinayak (1994) - IMDb,Mayur Vaishnav,7.3,Action,Ramchandra Sadekar,1994,18,N/A
The Fishing Net (1997) - IMDb,H.D. Premaratne,6.9,Drama,Daya Alwis,1997,26,1h 45m
Viva Stalin (Short 1994) - IMDb,Jens Meurer,8.4,Comedy,Shamil Boltacheyev,1994,12,15m
Vive a Liberdade! (1994) - IMDb,José Pedro Cavalheiro,N/A,Animation,N/A,1994,N/A,N/A
De vlinder tilt de kat op (1994) - IMDb,Willeke van Ammelrooy,7.1,Drama,Arjan Kindermans,1994,56,1h 45m
Voices from Within (TV Movie 1994) - IMDb,Eric Till,5.2,Mystery,JoBeth Williams,1994,98,1h 40m
Un volcán de lava de hielo (Short 1994) - IMDb,Valentina Leduc Navarro,8.9,Short,Yanitsa Buendia de Llaca,1994,8,32m
Le voleur et la menteuse (1994) - IMDb,Paul Boujenah,4.6,Drama,Mathilda May,1994,31,1h 20m
Volharding (1994) - IMDb,Kees Hin,N/A,Documentary,N/A,1994,N/A,1h
Voll normaaal (1994) - IMDb,Ralf Huettner,5.4,Animation,Tom Gerhardt,1994,3.6K,1h 31m
The Wizard of the Emerald City (1994) - IMDb,Pavel Arsenov,5.0,Adventure,Yekaterina Mikhaylovskaya,1994,83,1h 3m
Von Frau zu Frau: Die Sammlerin (TV Movie 1994) - IMDb,Peter Weck,N/A,Drama,Christiane Hörbiger,1994,N/A,45m
"""Kommissar Klefisch"" Dienstvergehen (TV Episode 1991) - IMDb",Gabriela Zerhau,5.8,Crime,Willy Millowitsch,N/A,13,1h 30m
Vremya lyubit i vremya nenavidet (1994) - IMDb,Vyacheslav Khotulyov,4.0,Documentary,Anatoli Karpov,1994,11,52m
Los vuelcos del corazón (1996) - IMDb,Mitl Valdez,5.5,Drama,Martin Barraza,1996,22,2h 10m
